id,nombre,descripción,reto,ubicacion,año,disciplinas,tipologia,fase,comunicacion,software,lat,lon
P61,Barrio Santa Lucía,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.",,"Monterrey, N.L., México",2025,Arquitectura,Vivienda,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Gemini, Monday.com, Navisworks, Python, Revit, Twinmotion",25.68,-100.31
P60,Akasia,"Desarrollo vertical mixto: comercio, vivienda y oficinas.",,"Monterrey, N.L., México",2025,Documentación y Cuantificación,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Gemini, Navisworks, Python, Revit",25.68,-100.31
P59,Aeropuerto Int. Cancún,Infraestructura aeroportuaria (Confidencial).,,"Cancún, Q.Roo, México",2025,Confidencial,Infraestructura,Oficina,Confidencial,"Confidencial, Dynamo, Gemini, Python",21.16,-86.85
P58,Tren Ligero,Sistema ferroviario inter-estatal con trenes de última generación.,,"Campeche, Camp., México",2024,Infraestructura,Infraestructura,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","ACC, AutoCAD, Dynamo, Navisworks, Power BI, Python, Revit, Speckle, Twinmotion",19.83,-90.53
P57,Tawra,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.",,"Monterrey, N.L., México",2024,MEP,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle, Twinmotion",25.68,-100.31
P56,Puentes Periféricos,Rehabilitación de puentes estratégicos sobre río para conectividad urbana.,,"Edo. Méx., México",2024,Estructura,Infraestructura,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","BIM 360, Civil 3D, Dynamo, Navisworks, Power BI, Python, Revit, Speckle, Twinmotion",19.5,-99.5
P55,Confidencial,Proyecto de infraestructura de seguridad nacional,,Confidencial,2024,Confidencial,Confidencial,Obra,Confidencial,Confidencial,,
P54,Confidencial,Proyecto de infraestructura de seguridad nacional,,Confidencial,2024,Confidencial,Confidencial,Obra,Confidencial,Confidencial,,
P53,Metrobús Línea 3,Sistema de transporte masivo de última generación para movilidad urbana.,,"CDMX, México",2024,Documentación y Cuantificación,Infraestructura,Oficina,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",19.43,-99.13
P52,Hospital General de Zona,Hospital General de Zona de alta especialidad.,"En el proyecto del HGZ, me desempeñé como enlace técnico de CEMEX para la integración de la fachada arquitectónica prefabricada y la infraestructura estructural, bajo el marco de la ISO 19650 y el entorno de ACC. Implementé un ecosistema de control basado en códigos QR vinculados al modelo y tableros en Power BI para monitorear el avance logístico y financiero en tiempo real, facilitando la toma de decisiones para los residentes y la gerencia. Mi labor destacó por el uso estratégico de Gamma AR, superponiendo el modelo digital sobre la obra física para realizar auditorías preventivas; esto permitió detectar errores críticos a tiempo, como el habilitado de acero en excavaciones no proyectadas, evitando sobrecostos y retrasos significativos en la ruta crítica del proyecto.

Ante desafíos en la producción externa, fui comisionado durante meses en las instalaciones del fabricante para nivelar su madurez digital y regularizar el modelado mediante técnicas de LOD 400 y scripts de Dynamo para la colocación automatizada de conexiones estructurales. Utilicé Speckle para democratizar el acceso al modelo 3D entre todos los involucrados sin necesidad de software especializado, permitiendo que supervisores y altos mandos consultaran el avance y realizaran comentarios de forma ágil, complementado con visualizaciones en Twinmotion. La entrega final fue estructurada rigurosamente con OmniClass y el esquema COBie, garantizando una base de datos maestra para la operación del hospital y optimizando el BEP mediante una comunicación constante con el Coordinador y el BIM Manager en oficina central.","Tula, Hgo., México",2024,Multidisciplina,Salud,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","ACC, AutoCAD, Dynamo, Navisworks, Power BI, Python, Revit, Speckle, Twinmotion",20.05,-99.34
P51,Unidad de Medicina Familiar,Unidad de Medicina Familiar para atención médica regional.,"Como Coordinador de Modelado MEP, lideré la integración de ingenierías de alta densidad en este complejo hospitalario, gestionando un equipo de modeladores bajo el marco de la ISO 19650. Mi comunicación constante con el BIM Manager en oficina fue clave para evolucionar y mejorar el BEP durante la ejecución, integrando scripts de Dynamo que automatizaron la generación masiva de vistas y tablas para el soporte de cobros. Implementé un ecosistema de datos con Power BI para el control visual del avance y Speckle para facilitar el acceso al modelo 3D a todos los involucrados, asegurando que la información técnica fuera accesible sin necesidad de software especializado.

Para garantizar la transparencia financiera, establecí protocolos de levantamientos conjuntos en sitio con clientes y contratistas, alineando la realidad física con el modelo digital mediante el sistema OmniClass. Utilicé Navisworks para la detección y resolución de interferencias críticas entre redes y Twinmotion para validar cambios de diseño de forma ágil ante los interesados. La entrega final, estructurada bajo el estándar COBie, consolidó un activo digital de alta precisión diseñado para la eficiencia operativa del hospital, eliminando discrepancias técnicas y asegurando una conciliación de volúmenes impecable para el pago de estimaciones.","Tula, Hgo., México",2024,MEP,Salud,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","ACC, AutoCAD, Dynamo, Navisworks, Power BI, Revit, Speckle, Twinmotion",20.05,-99.34
P50,Esplendor II,Conjunto de vivienda media con áreas verdes y recreativas.,,"Nacajuca, Tab., México",2024,Documentación y Cuantificación,Vivienda,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",18.14,-93.01
P49,Distrito República,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.",,"Guadalajara, Jal., México",2024,Documentación y Cuantificación,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",20.65,-103.34
P48,Casa Cerro Abanico,Residencia de lujo en zona sísmica con acabados premium.,,"CDMX, México",2024,Arquitectura,Vivienda,Oficina,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","AutoCAD, BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",19.43,-99.13
P47,Carretera San Miguel,Pavimentación carretera de 30 km con tecnología de concreto avanzada.,,"San Miguel, GTO, México",2024,Infraestructura,Infraestructura,Oficina,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","ACC, Civil 3D, Dynamo, Navisworks, Power BI, Python, Revit, Speckle, Twinmotion",20.91,-100.74
P46,Barrio W,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.",,"Monterrey, N.L., México",2024,Documentación y Cuantificación,Edificación,Oficina,"BIM Manager, Coordinador BIM, Otros Modeladores","BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",25.67,-100.3
P45,Aldaba,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.",,"León, Gto., México",2024,Arquitectura,Vivienda,Oficina,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","BIM 360, Dynamo, Navisworks, Power BI, Python, Revit, Speckle",21.12,-101.68
P44,Silos,Infraestructura de almacenamiento de granos para abastecimiento regional.,,"Cd, Juárez, México",2023,Estructura,Industrial,Oficina,"BIM Manager, Coordinador BIM","AutoCAD, BIM 360, Navisworks, Power BI, Revit, Speckle",31.76,-106.48
P43,Salón Hernández,Salón de eventos personalizado para celebraciones sociales.,,"Orizaba, Ver., México",2023,Arquitectura,Comercial,Oficina,Superintendente de Control de Proyecto,"Power BI, Revit, Speckle, Twinmotion",18.84,-97.1
P42,Salina Cruz,"Desarrollo integral: vivienda, infraestructura hidráulica y eléctrica.",,"Salina Cruz, Oax., México",2023,Multidisciplina,Vivienda,Oficina,"Técnico de Desarrollo, Jefe Nacional de Planeación y Desarrollo, Cliente, Otros Modeladores","AutoCAD, BIM 360, Navisworks, Power BI, Revit, Speckle, Twinmotion",16.16,-95.2
P41,Puentes Libramiento,Puentes estratégicos sobre cauce fluvial para conectividad estatal.,,"Edo. Méx., México",2022,Infraestructura,Infraestructura,Obra,"Técnico de Desarrollo, Jefe Nacional de Planeación y Desarrollo, Cliente, Otros Modeladores","BIM 360, Civil 3D, Navisworks, Revit, Twinmotion",19.5,-99.5
P40,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"Tijuana, B.C., México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",32.51,-117.03
P39,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"Tampico, Tamps., México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",22.25,-97.85
P38,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"San Quintín, B.C., México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",30.43,-115.95
P37,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"Guadalajara, Jal., México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",20.65,-103.34
P36,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"Cd. Juárez, Chih., México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",31.76,-106.48
P35,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,,"CDMX, México",2022,Multidisciplina,Salud,Oficina,"BIM Manager, Coordinador BIM, Modelador de Proyecto","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",19.46,-99.14
P34,Central de Mezclas,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,"Lideré la gestión de información en la Central de Mezclas (áreas de nutrición parenteral y citotóxicos), un entorno hospitalario de alta complejidad bajo la ISO 19650. Elevé el estándar a un LOD 400, modelando componentes con precisión de fabricación real y utilizando Navisworks exclusivamente para la detección de interferencias en instalaciones especiales. Trabajé de la mano con el BIM Manager para ajustar el BEP a las exigencias normativas del cliente, logrando un equilibrio entre el rigor técnico y la viabilidad del modelado, evitando el sobreprocesamiento de datos innecesarios en áreas estériles.

Utilicé Lumion para validar cambios de diseño en tiempo real y Dynamo para automatizar la generación de la documentación masiva requerida por el equipo de Control para el soporte de cobros. Mi labor de auditoría y la comunicación constante con la oficina aseguraron que las cuantificaciones extraídas del modelo fueran aceptadas sin disputas por supervisores externos. Finalmente, estandaricé la entrega bajo COBie y OmniClass, dejando un precedente de excelencia técnica que permitió escalar estas lecciones aprendidas a otros proyectos de la empresa a nivel nacional.","Torreón, Coah., México",2023,Multidisciplina,Salud,Obra,"Superintendente, Residente, Jefe de Control, Jefe de Seguridad, Contratistas, Cliente, Otros Modeladores","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",25.54,-103.4
P33,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Zamora, Mich., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",19.99,-102.29
P32,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Zamora, Mich., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",19.98,-102.28
P31,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Villahermosa, Tab., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",17.98,-92.92
P30,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Tuxtla Gtz, Chis., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",16.75,-93.11
P29,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Tlalnepantla, Edo. Méx., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",19.54,-99.19
P28,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"San Quintín, B.C., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",30.48,-115.93
P27,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"San Luis Potosí, México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",22.16,-100.99
P26,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"San Luis Potosí, México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",22.15,-100.98
P25,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"San José del Cabo, BCS, México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",23.07,-109.71
P24,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"San José del Cabo, BCS, México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",23.06,-109.7
P23,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Saltillo, Coah., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",25.43,-101.01
P22,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Saltillo, Coah., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",25.42,-101
P21,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Querétaro, Qro., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",20.58,-100.38
P20,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Puebla, Pue., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",19.04,-98.2
P19,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Monterrey, N.L., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",25.68,-100.32
P18,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Monterrey, N.L., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",25.68,-100.31
P17,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Monclova, Coah., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",26.91,-101.42
P16,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Monclova, Coah., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",26.9,-101.41
P15,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Mexicali, B.C., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",32.63,-115.46
P14,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Mexicali, B.C., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",32.62,-115.45
P13,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Fresnillo, Zac., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",23.17,-102.86
P12,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Culiacán, Sin., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",24.8,-107.39
P11,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Cd. Obregón, Son., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",27.48,-109.93
P10,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Cd. Juárez, Chih., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",31.69,-106.42
P09,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Agua Prieta, Son., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",31.34,-109.56
P08,Módulo COVID,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,,"Agua Prieta, Son., México",2021,MEP,Salud,Oficina,"Gerente BIM, BIM Manager","AutoCAD, BIM 360, Excel, Lumion, Navisworks, Revit",31.33,-109.55
P07,Casa H,Ampliación residencial de alta especificación bajo normativa municipal.,"Coordiné el desarrollo técnico de la Casa H, realizando el levantamiento en sitio y el modelado para la cuantificación exacta de suministros. Mi enfoque principal fue la optimización del presupuesto mediante una planificación por fases y soporte técnico con visualizaciones 3D, facilitando la toma de decisiones y el control de materiales en la remodelación.

Aseguré que la propuesta técnica se alineara al reglamento de construcción local, entregando catálogos de conceptos y modelos de referencia que garantizaron la viabilidad técnica de la obra sin generar sobrecostos financieros.","Río Grande, Zac., México",2019,Arquitectura,Vivienda,Obra,"Coordinador Regional, Cliente","Revit, Twinmotion",23.83,-103.01
P06,Mall,Ampliación estructural de centro comercial.,,"Nuevo Mexico, USA",2023,Estructura,Comercial,Oficina,Residente de Obra,"Power BI, Speckle, Tekla Structures",34.5199,-105.8701
P05,Nave Industrial AZ,Nave industrial logística para productos de importación.,,"Phoenix, AZ, USA",2018,Estructura,Industrial,Oficina,Residente de Obra,Tekla Structures,33.44,-112.07
P04,Escuela Secundaria TX,Remodelación de infraestructura educativa con estructura metálica.,,"Austin, TX, USA",2018,Estructura,Educación,Oficina,Residente de Obra,Tekla Structures,30.26,-97.74
P03,Torre KOI,"Torre de usos mixtos, referente vertical del continente en zona de prestigio.","En la Torre Koi, gestioné la trazabilidad digital y auditoría de datos para el suministro de concretos de alta resistencia en condiciones de verticalidad extrema. Bajo los lineamientos de la ISO 19650, documenté en el modelo BIM cada elemento colado utilizando el estándar OmniClass, integrando metadatos sobre logística a gran altura y parámetros técnicos de durabilidad. Trabajé en estrecha colaboración con la gerencia BIM en oficina para asegurar que el BEP se ejecutara con rigor, proponiendo mejoras en los protocolos de comunicación que agilizaron la validación de volúmenes y redujeron significativamente las discrepancias financieras.

Mi gestión permitió identificar oportunamente la necesidad de productos especializados mediante el análisis de datos del modelo. Al actuar como el vínculo entre la ejecución en obra y la oficina técnica, garantice que el flujo de información fuera constante y veraz, utilizando el modelo como una herramienta de auditoría infalible. La entrega final se consolidó bajo el estándar COBie, proporcionando al cliente una base de datos maestra organizada y lista para la gestión de este activo de alta complejidad.
","Monterrey, N.L., México",2017,MEP,Edificación,Obra,"Jefe de Centro de Servicio, Residente de Obra","Excel, Revit",25.65,-100.38
P02,Patrimonio Hoy,Gestión de +400 proyectos de remodelación y diseño residencial (2017-2022).,"
Como especialista técnico en el programa **Patrimonio Hoy de CEMEX**, gestioné de manera integral más de 300 asesorías de vivienda, liderando la captura de datos en sitio y garantizando el cumplimiento estricto de los reglamentos de construcción vigentes. Bajo un enfoque de gestión de información, traduje las necesidades y expectativas de los usuarios (EIR) en soluciones arquitectónicas modulares y fases de ejecución estratégica, alineadas rigurosamente al presupuesto y los créditos de suministro otorgados por la empresa para asegurar la viabilidad técnica y financiera de cada obra.

Desarrollé flujos de trabajo estandarizados para la entrega de documentación técnica, renders y cuantificaciones precisas de materiales, optimizando la transparencia en el consumo y la toma de decisiones del cliente. Toda la información generada fue administrada y cargada en una plataforma de gestión centralizada (CDE), permitiendo una auditoría técnica constante por parte de la dirección y facilitando el análisis de datos para la renovación de servicios. Mi labor transformó el diseño arquitectónico tradicional en un modelo de gestión de activos que integró el control de obra con la logística de suministros de CEMEX.","Monterrey, N.L., México",2017,Multidisciplina,Vivienda,Obra,"Coordinador Regional, Cliente","Excel, Power Point, Revit",25.68,-100.31
P01,Estadio BBVA,"Estadio de última generación, sede de eventos internacionales.","Como especialista técnico de CEMEX, lideré la auditoría volumétrica y el registro de trazabilidad digital bajo el marco de la ISO 19650. Mi función principal fue garantizar la integridad de los datos en el modelo mediante validaciones as-built en sitio, utilizando el sistema de clasificación OmniClass para registrar parámetros críticos: desde números de remisión hasta condiciones climáticas y tiempos de fraguado. Mantuve una comunicación bidireccional constante con la coordinación y el BIM Manager en oficina, asegurando que cada registro en el modelo cumpliera con los estándares de calidad y permitiera conciliaciones precisas con el Centro de Servicio, mitigando riesgos financieros.

Este flujo de información permitió optimizar el BEP del proyecto, adaptando los procesos de captura de datos a la realidad del sitio y utilizando AutoCAD exclusivamente como herramienta de consulta. Este flujo colaborativo aseguró que la base de datos técnica fuera compatible con el esquema COBie, entregando un activo digital estructurado para la operación y mantenimiento del estadio. El resultado fue un modelo de alta precisión que sirvió como fuente única de verdad para la transparencia en el suministro y la ejecución.","Monterrey, N.L., México",2014,Estructura,Deportivo,Obra,"Jefe de Centro de Servicio, Residente de Obra","Excel, BIM 360, Revit",25.65,-100.22
